posicion,indice,keyword,vertical,tipo_keyword
1,8645,razer huntsman v3 pro tkl,Electro y Tecno,modelo_producto
2,7830,calefactor tbu 3000,Electro y Tecno,categoria_generica
3,4399,colchon antiescaras silfab,"Muebles, Hogar y Deco",categoria_generica
4,8626,philco smart tv android 40 pulgadas,Electro y Tecno,modelo_producto
5,12390,atornillador pektra,Electro y Tecno,categoria_generica
6,6727,cava philco,Electro y Tecno,categoria_marca
7,2939,organizador de baño sobre inodoro,"Muebles, Hogar y Deco",modelo_producto
8,552,calefaccion electrica,Electro y Tecno,categoria_atributo
9,2993,obsession calvin klein,Salud y Belleza,categoria_generica
10,8647,tv sony bravia 50 pulgadas,Electro y Tecno,modelo_producto
11,11554,muñeca chelsea sirena,Bebes y Niños,categoria_generica
12,6237,disco pc,Electro y Tecno,categoria_generica
13,6096,cargador de bateria black and decker,Electro y Tecno,modelo_producto
14,1857,camara osmo,Electro y Tecno,categoria_generica
15,247,inodoro inteligente,"Muebles, Hogar y Deco",categoria_generica
16,8988,gafa eternity m210,Electro y Tecno,modelo_producto
17,11451,baby alive magical mixer,Bebes y Niños,modelo_producto
18,12983,secador de pelo winco w94,Salud y Belleza,modelo_producto
19,11630,eliptico con asiento,Deporte y Fitness,categoria_generica
20,10264,galaxy active 2,Electro y Tecno,categoria_generica
21,6551,microondas samsung 32 litros,Electro y Tecno,modelo_producto
22,4340,carteras las oreiro,Indumentaria y Calzado,categoria_generica
23,8769,noblex smart box,Electro y Tecno,categoria_marca
24,10877,kohinoor,Electro y Tecno,modelo_producto
25,6749,drone phantom,Electro y Tecno,categoria_generica
26,5603,balde con mopa centrifuga,"Muebles, Hogar y Deco",modelo_producto
27,5962,mueble recibidor,"Muebles, Hogar y Deco",categoria_generica
28,7759,tv admiral 55 pulgadas,Electro y Tecno,categoria_atributo
29,1942,atlas perfume,Salud y Belleza,categoria_generica
30,11778,samsung galaxy s23 plus green,Electro y Tecno,modelo_producto
31,10350,black decker licuadora,Electro y Tecno,categoria_generica
32,4562,juguete mamadera avent,Bebes y Niños,categoria_generica
33,6116,heladera 50 cm ancho,Electro y Tecno,modelo_producto
34,770,hyperx cloud 2,Electro y Tecno,categoria_generica
35,10128,iphone 13 mini red,Electro y Tecno,modelo_producto
36,2464,mopa giratoria,"Muebles, Hogar y Deco",categoria_generica
37,1972,inflador inalambrico,Deporte y Fitness,categoria_atributo
38,7982,quantum five,Electro y Tecno,categoria_generica
39,11859,heladera westinghouse no frost,Electro y Tecno,modelo_producto
40,9809,asiento de silicona para bicicleta,Deporte y Fitness,modelo_producto
41,10803,home samsung,Electro y Tecno,categoria_marca
42,10960,set de ollas tramontina turim 7 piezas,"Muebles, Hogar y Deco",modelo_producto
43,147,iluminacion inteligente,Electro y Tecno,categoria_generica
44,5583,e reader noax aura lector,Electro y Tecno,modelo_producto
45,5516,cortadora de cesped inalambrica,Electro y Tecno,categoria_atributo
46,6896,moschino uomo,Salud y Belleza,categoria_generica
47,3260,multimetro digital,Electro y Tecno,categoria_generica
48,1598,motorola g84 5g,Electro y Tecno,modelo_producto
49,7400,placard 5 puertas,"Muebles, Hogar y Deco",categoria_generica
50,1100,autos de coleccion,Autos y Motos,categoria_generica
51,1058,jbl clip 5,Electro y Tecno,modelo_producto
52,9130,game runner,Electro y Tecno,categoria_generica
53,11485,muñeca barbie land,Bebes y Niños,categoria_generica
54,3803,sexionary,Bebes y Niños,modelo_producto
55,2685,dove shampoo y acondicionador,Salud y Belleza,modelo_producto
56,2737,simulador de remo,Deporte y Fitness,categoria_generica
57,7666,philco heladera bajo mesada mabe,Electro y Tecno,modelo_producto
58,6264,estufa winco,Electro y Tecno,categoria_generica
59,2284,cocina philco,Electro y Tecno,categoria_marca
60,9211,talle m remera mujer,Indumentaria y Calzado,modelo_producto
61,11157,tendedero de ropa,"Muebles, Hogar y Deco",categoria_generica
62,6352,colchones suavestar 1 plaza,"Muebles, Hogar y Deco",modelo_producto
63,3683,tagwood,Electro y Tecno,modelo_producto
64,12250,heladera lacar 2110,Electro y Tecno,categoria_generica
65,7014,cortadora de cesped black and decker,Electro y Tecno,modelo_producto
66,9186,smart panasonic,Electro y Tecno,categoria_atributo
67,7346,bandolera las oreiro,Indumentaria y Calzado,categoria_generica
68,9013,omron 7121,Salud y Belleza,categoria_generica
69,12426,garmin 965,Electro y Tecno,categoria_generica
70,1212,celular samsung s25,Electro y Tecno,modelo_producto
71,3003,tapa de inodoro,"Muebles, Hogar y Deco",categoria_generica
72,1079,moza r3,Electro y Tecno,categoria_generica
73,8711,heladera candy no frost,Electro y Tecno,modelo_producto
74,9721,juguete deadpool muñeco,Bebes y Niños,categoria_generica
75,8782,smart tv xiaomi,Electro y Tecno,categoria_marca
76,7020,samsung anafes a gas 5 hornallas,Electro y Tecno,modelo_producto
77,22,cafeteras express,Electro y Tecno,categoria_generica
78,11022,luz led exterior solar,"Muebles, Hogar y Deco",modelo_producto
79,5819,lavarropas con carga superior,Electro y Tecno,modelo_producto
80,1197,rtx 2060 super,Electro y Tecno,categoria_generica
81,2668,lusqtoff racing,"Muebles, Hogar y Deco",categoria_generica
82,8254,pelopincho 4500 litros,"Muebles, Hogar y Deco",categoria_atributo
83,4116,montura para caño de gas,Electro y Tecno,modelo_producto
84,10337,timbre inalambrico sanderson,Electro y Tecno,categoria_atributo
85,6684,camara nikon d3500,Electro y Tecno,categoria_generica
86,4465,preservision areds 2,Salud y Belleza,categoria_generica
87,2808,motorola moto g73,Electro y Tecno,modelo_producto
88,4753,medidor láser bosch,Electro y Tecno,categoria_generica
89,11502,porta algodon para bebe,Bebes y Niños,modelo_producto
90,13019,plancha winco a vapor,Salud y Belleza,modelo_producto
91,11647,dolphin futsal,Deporte y Fitness,categoria_generica
92,510,motorola edge 70 pro,Electro y Tecno,modelo_producto
93,2388,horno electrico samsung,Electro y Tecno,categoria_marca
94,9415,e20 modulo,"Muebles, Hogar y Deco",categoria_generica
95,9298,alacena de baño colgante,"Muebles, Hogar y Deco",modelo_producto
96,8791,home theater noga,Electro y Tecno,categoria_generica
97,1059,plancha a vapor philips,Electro y Tecno,modelo_producto
98,5140,juguete pistola suprabond,Bebes y Niños,categoria_generica
99,8040,alloy origins,Electro y Tecno,categoria_generica
100,6087,aspiradora robot gadnic z900 trapeadora 200m2,Electro y Tecno,modelo_producto
101,334,samsung galaxy a01,Electro y Tecno,modelo_producto
102,3990,anafe eléctrico 1 hornalla,Electro y Tecno,categoria_atributo
103,11065,bomba centrifuga lusqtoff,"Muebles, Hogar y Deco",categoria_generica
104,2033,tableta grafica wacom,Electro y Tecno,categoria_generica
105,6671,cerave protector solar,Salud y Belleza,categoria_generica
106,5730,samsung galaxy s24 ultra colores,Electro y Tecno,modelo_producto
107,12500,afilador kld,Electro y Tecno,categoria_generica
108,9024,philco con bluetooth,Electro y Tecno,categoria_marca
109,12689,valija samsonite mediana,Indumentaria y Calzado,categoria_generica
110,1053,motorola moto g34,Electro y Tecno,modelo_producto
111,8176,respaldo de cama plaza y media,"Muebles, Hogar y Deco",modelo_producto
112,10677,ultracomb procesadora,Electro y Tecno,categoria_generica
113,3345,pack muebles,"Muebles, Hogar y Deco",categoria_generica
114,2187,infinix hot 40 pro,Electro y Tecno,modelo_producto
115,6495,bicicleta avelino rodado 29,Deporte y Fitness,categoria_atributo
116,12173,tissot prc 200,Electro y Tecno,categoria_generica
117,11943,silicone case samsung a54,Electro y Tecno,modelo_producto
118,5686,victrix pro bfg,Bebes y Niños,categoria_generica
119,3020,juguete convertidor tv,Electro y Tecno,categoria_generica
120,10105,smart tv sansei 32,Electro y Tecno,categoria_atributo
